wikipedia_movie_id,movie_box_office_revenue,budget,opening_weekend,rating_score,producer,release_year
4227,279084.0,11000000.0,,8.1,Stanley Kubrick,1975
8481,31899000.0,6500000.0,,7.1,Brian De Palma,1980
31908,829625.0,23000000.0,38553.0,6.8,Wim Wenders,1991
41881,154501.0,1400000.0,10177.0,8.2,Joseph L. Mankiewicz,1950
42159,23667133.0,2100000.0,,8.1,William Wyler,1947
43849,18778738.0,3000000.0,,8.3,Billy Wilder,1960
44218,,1300000.0,,7.1,W.S. Van Dyke,1936
44752,,700000.0,,7.3,Edmund Goulding,1932
45568,90520202.0,70000000.0,9319797.0,7.5,James Cameron,1989
60155,,200000.0,,6.3,Lowell Sherman,1933
61169,6879.0,520000.0,,7.4,Mark Sandrich,1934
61182,,379000.0,,5.6,Harry Beaumont,1929
61483,,243000.0,,7.4,John Ford,1935
61501,13592.0,609000.0,,7.7,Mark Sandrich,1935
61519,,1232000.0,,7.8,Jack Conway,1935
62084,291.0,1900000.0,,7.9,Michael Curtiz,1938
62115,,,,7.3,Leo McCarey,1939
62688,782.0,1500000.0,,7.4,Alfred Hitchcock,1940
62693,,682495.0,,6.9,John Ford,1940
64657,3992246.0,80000000.0,1617462.0,7.5,Luc Besson,1988
67371,14645902.0,15000000.0,2014166.0,7.3,Jonathan Lynn,1985
67419,39673161.0,14000000.0,10524026.0,6.1,John Flynn,1991
67423,104324083.0,60000000.0,12624402.0,5.6,Geoff Murphy,1995
67431,16228448.0,60000000.0,6073094.0,5.1,Félix Enríquez Alcalá,1997
67916,,,,6.3,Anthony Mann,1955
68084,,,,7.4,George Cukor,1949
68108,287.0,,,7.6,Douglas Sirk,1955
68501,31558.0,,,7.6,Robert Altman,1971
70428,,1750000.0,,7.7,John Ford,1952
72317,1404.0,,,6.9,Jack Arnold,1954
73467,,1600000.0,,7.4,Bob Rafelson,1970
73930,,546883.0,,8.0,Erich von Stroheim,1925
73970,158.0,2600000.0,,8.1,William Wyler,1949
74381,,,,7.1,Arthur Hiller,1972
75255,,1261000.0,,7.3,Anthony Mann,1953
75263,5320.0,,,7.8,Sam Wood,1935
76030,375524.0,941000.0,6091.0,7.5,Mel Brooks,1968
76297,14462.0,3000000.0,,7.7,Howard Hawks,1948
76371,7704.0,3400000.0,,8.0,Alexander Mackendrick,1957
76387,,1600000.0,,7.1,Christian Nyby,1951
76402,,,,7.7,Henry King,1950
76631,,,,6.9,Frank Tashlin,1957
76647,,,,7.6,Michael Curtiz,1942
77460,1796389.0,,787724.0,4.7,Jennifer Lynch,1993
77609,16364924.0,1400000.0,,7.7,Howard Hawks,1941
77641,,1210000.0,,7.9,Mervyn LeRoy,1943
77751,,4000000.0,,6.8,Charles Vidor,1953
78425,2603061.0,,22554.0,8.1,Yimou Zhang,1991
79729,21337978.0,,,7.2,Leo McCarey,1946
79848,4149.0,,,7.5,Garson Kanin,1939
80523,1742.0,,,7.9,George Seaton,1947
80944,,,,7.1,Vincente Minnelli,1950
90156,1883811.0,18000000.0,916482.0,5.7,Ken Kwapis,1988
