wikipedia_movie_id,freebase_movie_id,movie_name,movie_release_date,movie_box_office_revenue_x,movie_runtime,movie_languages,movie_countries,movie_genres
975900,/m/03vyhn,Ghosts of Mars,2001.0,14010832.0,98.0,['English Language'],['United States of America'],"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Supernatural', 'Action', 'Space western']"
10408933,/m/02qc0j7,Alexander's Ragtime Band,1938.0,3600000.0,106.0,['English Language'],['United States of America'],"['Musical', 'Comedy', 'Black-and-white']"
171005,/m/016ywb,Henry V,1989.0,10161099.0,137.0,['English Language'],['United Kingdom'],"['Costume drama', 'War film', 'Epic', 'Period piece', 'Drama', 'Film adaptation']"
77856,/m/0kcn7,Mary Poppins,1964.0,102272727.0,139.0,['English Language'],['United States of America'],"[""Children's/Family"", 'Musical', 'Fantasy', 'Comedy', 'Drama', 'Family Film', ""Children's Fantasy""]"
612710,/m/02wjqm,New Rose Hotel,1999.0,21521.0,92.0,['English Language'],['United States of America'],"['Thriller', 'Science Fiction', 'Future noir', 'Indie', 'Erotic thriller', 'Fantasy', 'Film adaptation', 'Drama']"
156558,/m/014k4y,Baby Boy,2001.0,29381649.0,123.0,['English Language'],['United States of America'],"['Crime Fiction', 'Drama', 'Coming of age']"
1364293,/m/04wy0v,They Knew What They Wanted,1940.0,932000.0,96.0,['English Language'],['United States of America'],"['Romance Film', 'Marriage Drama', 'Drama', 'Black-and-white']"
261237,/m/01mrrd,The Gods Must Be Crazy,1980.0,34331783.0,109.0,"['Afrikaans Language', 'English Language']",['South Africa'],"['Adventure', 'Action/Adventure', 'Indie', 'World cinema', 'Cult', 'Adventure Comedy', 'Comedy', 'Slapstick']"
12008535,/m/02vlsqt,Rudo y Cursi,2008.0,11091868.0,103.0,['Spanish Language'],"['Mexico', 'United States of America']","['Sports', 'Drama', 'Family Drama', 'Comedy-drama', 'Comedy']"
4951456,/m/0cws46,Kinjite: Forbidden Subjects,1989.0,3416846.0,97.0,['English Language'],['United States of America'],"['Crime Fiction', 'Action/Adventure', 'Action', 'Thriller']"
5708633,/m/0f0d1p,The Great New Wonderful,2006.0,172055.0,87.0,['English Language'],['United States of America'],"['Drama', 'Ensemble Film', 'Comedy-drama', 'Indie']"
12053509,/m/02vn81r,Loverboy,1989.0,3960327.0,98.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy']"
7364373,/m/0kv612,The Covered Wagon,1923.0,3500000.0,23.0,['English Language'],['United States of America'],"['Short Film', 'Epic Western', 'Western', 'Silent film', 'Indie']"
7028314,/m/0h10pz,The Little Hut,1957.0,3600000.0,90.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy']"
12788657,/m/02x4zpv,The Boston Strangler,1968.0,17810894.0,116.0,['English Language'],['United States of America'],"['Crime Fiction', 'Mystery', 'Thriller', 'Drama', 'Crime Thriller']"
3873713,/m/0b4f1s,Lee Dae-ro Can't Die,2005.0,4736013.0,108.0,['Korean Language'],['South Korea'],"['Action', 'Comedy']"
164387,/m/015wmg,...And Justice for All,1979.0,33300000.0,120.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Comedy-drama', 'Mystery', 'Satire', 'Drama', 'Comedy', 'Legal drama', 'Courtroom Drama', 'New Hollywood', 'Suspense']"
24282217,/m/07sb8_t,The Naked Kitchen,2009.0,638181.0,102.0,['Korean Language'],['South Korea'],"['World cinema', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']"
