wikipedia_movie_id,movie_box_office_revenue,currency_revenue,budget,currency_budget,opening_weekend,currency_opening_weekend,rating_score,producer,release_year
17657295,,,225000.0,$,,,6.5,Richard Compton,1975.0
3333,,,110000.0,$,,,6.1,D.W. Griffith,1915.0
365039,164839294.0,$,70000000.0,$,16485276.0,$,5.9,Ivan Reitman,1998.0
3662683,16656103.0,$,17000000.0,$,3667420.0,$,5.5,Paul Weitz,2006.0
1353277,,,5037000.0,$,,,7.0,Nicholas Ray,1961.0
28763446,71508440.0,$,40000000.0,$,10408176.0,$,6.4,Olivier Megaton,2011.0
2476317,12484444.0,$,4340000.0,$,,,6.7,John Frankenheimer,1975.0
11448113,33526835.0,$,10000000.0,$,13010767.0,$,5.8,Marcus Raboy,2002.0
4515733,11307844.0,$,22000000.0,$,3498957.0,$,6.6,Walter Hill,1987.0
2296056,86369815.0,$,35000000.0,$,14631784.0,$,6.3,Mike Mitchell,2005.0
999394,1066179747.0,$,225000000.0,$,135634554.0,$,7.4,Gore Verbinski,2006.0
31417999,2169799.0,$,12000000.0,$,8726.0,$,5.9,Malcolm Venville,2011.0
226198,227927165.0,$,21000000.0,$,17253733.0,$,6.8,Nora Ephron,1993.0
4669663,19478.0,$,,,6713.0,$,7.5,Shane Meadows,2000.0
29890894,,,,,,,6.2,Byron Haskin,1956.0
2795282,6770587.0,$,,,1198279.0,$,5.9,Michael Crichton,1984.0
11455154,10174839.0,$,590000.0,€,51712.0,$,7.9,Cristian Mungiu,2007.0
7081414,898786.0,$,,,76214.0,$,6.9,Andrew Wagner,2007.0
944471,2819485.0,$,15000000.0,$,1232508.0,$,6.9,Kenny Ortega,1992.0
102026,34585416.0,$,26000000.0,$,6208595.0,$,7.0,Tom Hanks,1996.0
14169361,14391750.0,$,,,,,6.6,Won Shin-yeon,2007.0
4213154,4092682.0,$,16000000.0,$,46348.0,$,6.5,James Ivory,2006.0
7771844,9830.0,$,3000000.0,$,,,7.5,Joseph L. Mankiewicz,1960.0
703687,45011434.0,$,4000000.0,$,110552.0,$,7.0,Marc Forster,2002.0
8464511,46060.0,$,,,11455.0,$,6.7,Laurie Lynd,2007.0
9478308,908847.0,$,8000000.0,$,46903.0,$,6.6,Stuart Townsend,2008.0
10377382,,,375000.0,$,,,7.0,Mark Robson,1949.0
476640,9255027.0,$,,,3809248.0,$,5.3,Tom DeCerchio,1996.0
2043990,26960191.0,$,18000000.0,$,10448420.0,$,5.3,Rick Friedberg,1996.0
545187,122823468.0,$,90000000.0,$,14581740.0,$,5.5,Mick Jackson,1997.0
492540,23278931.0,$,43000000.0,$,4810027.0,$,5.1,Barry Levinson,1992.0
2964227,18302013.0,$,25000000.0,$,,,7.8,Roger Donaldson,2006.0
22667247,6604537.0,$,23000000.0,$,,,6.8,Teddy Chan,2009.0
4186478,4875436.0,$,250000.0,$,748824.0,$,5.0,Armand Mastroianni,1980.0
14104063,2086905.0,$,,,197230.0,$,5.4,Sidney Lumet,1980.0
277710,57756408.0,$,35000000.0,$,11801323.0,$,6.2,David Mirkin,2001.0
146947,825802095.0,$,139000000.0,$,114844116.0,$,7.4,Sam Raimi,2002.0
22751,35402320.0,$,42000000.0,$,6402741.0,$,6.0,Michael Cristofer,2001.0
277713,104391623.0,$,60000000.0,$,15051028.0,$,5.4,Kevin Donovan,2002.0
27063955,422618.0,$,2500000.0,$,46549.0,$,6.7,James Gunn,2011.0
14421091,39291383.0,$,40000000.0,$,6293205.0,$,5.8,Paul Weitz,2009.0
3979809,14241310.0,$,4000000.0,$,4403169.0,$,7.3,Dan O'Bannon,1985.0
27504596,6171057.0,$,,,,,6.5,Park Shin-woo,2009.0
441280,33978694.0,$,45000000.0,$,7237422.0,$,3.7,Courtney Solomon,2000.0
2501824,2694234.0,$,,,1458837.0,$,5.4,Michael Ritchie,1994.0
1164551,943625.0,$,3500000.0,$,80372.0,$,6.4,Brett Sullivan,2004.0
10466696,14248749.0,$,1300000.0,€,71916.0,$,7.1,Nadine Labaki,2007.0
70428,,,1750000.0,$,,,7.7,John Ford,1952.0
28236324,101327.0,$,,,,,7.3,Miraz Bezar,2010.0
5620636,,,,,,,6.9,Rudolph Maté,1955.0
12665133,1618282.0,$,,,,,6.3,Robert Allan Ackerman,1995.0
26030961,,,1173000.0,$,,,5.8,Robert Z. Leonard,1951.0
2448736,12232628.0,$,5000000.0,$,4295300.0,$,6.3,Steve Carver,1983.0
23982633,10371451.0,$,7300000.0,$,173353.0,$,7.2,Daniel Barber,2010.0
16395026,18012.0,$,,,2483.0,$,5.6,John Duigan,1998.0
31614378,453708.0,$,500000.0,$,7505.0,$,6.7,Nicholas Tomnay,2011.0
447255,1231622.0,$,,,20809.0,$,7.0,Maurizio Nichetti,1990.0
28722503,157887643.0,$,40000000.0,$,18031396.0,$,5.9,Steven Quale,2011.0
3343617,10015449.0,$,17000000.0,$,28612.0,$,7.6,Alfonso Cuarón,1995.0
32258845,87305549.0,$,26000000.0,$,20244505.0,$,6.4,Michael Bay,2013.0
4940876,4172703.0,$,12000000.0,$,75180.0,$,6.3,Anthony Russo,2002.0
1749093,448191819.0,$,130000000.0,$,34221968.0,$,7.3,Chris Buck,1999.0
29373289,120081841.0,$,50000000.0,$,9360434.0,$,7.0,Cameron Crowe,2011.0
2117473,18012097.0,$,35000000.0,$,5309675.0,$,4.3,Peter Hastings,2002.0
27451281,82686066.0,$,32000000.0,$,16300803.0,$,4.5,John Whitesell,2011.0
12267883,83440.0,$,600000.0,$,2431.0,$,6.7,Frank A. Cappello,2020.0
25452802,6833354.0,$,,,,,5.7,Shu-Kai Chung,2010.0
2045991,37591674.0,$,,,7440173.0,$,6.8,Lesli Linka Glatter,1995.0
30413435,2456417.0,$,,,,,5.4,Min-ho Cho,2009.0
1638112,2300000.0,$,1800000.0,$,,,8.1,Billy Wilder,1951.0
4191487,2635305.0,$,7900000.0,$,51907.0,$,6.8,Ol Parker,2006.0
8620409,905291.0,$,,,6613.0,$,6.6,Karen Moncrieff,2006.0
61501,13592.0,$,609000.0,$,,,7.7,Mark Sandrich,1935.0
2352505,8378853.0,$,16000000.0,$,2823548.0,$,4.4,Ernest R. Dickerson,2001.0
2772142,66517.0,$,,,32867.0,$,6.3,Katherine Dieckmann,2007.0
3450583,80000115.0,$,6000000.0,$,,,6.1,Frank Pierson,1976.0
7362782,813813.0,$,,,4250.0,$,6.8,Hong Sang-soo,2006.0
1136182,31181347.0,$,18000000.0,$,4625583.0,$,7.3,Agnieszka Holland,1993.0
11195154,7356393.0,$,,,63837.0,$,7.0,Arnaud Desplechin,2008.0
6342627,68716.0,$,1200000.0,$,1710.0,$,5.8,Matthew Bright,2002.0
2485103,13253583.0,$,5500000.0,$,,,6.4,Gary Sherman,1982.0
532618,141220678.0,$,45000000.0,$,20503356.0,$,5.4,Keenen Ivory Wayans,2001.0
26978561,8266778.0,$,45000000.0,$,,,4.3,Nikita Mikhalkov,2010.0
